topic_model__n_components,score
3,0.4338862174357036
5,0.4797237951134
7,0.4735629130531109
9,0.4584007383219334
11,0.44601342993636356
13,0.44567456685640533
15,0.4506598038654372
17,0.45555175150125643
20,0.4451591809231295
25,0.4100656922245299
30,0.3969613030045165
35,0.3934759087524295
40,0.38172844249832116
45,0.37254477250161044
50,0.37299849860735174
