topic_model__n_components,score
3,0.6562074032117541
5,0.6183408841377591
7,0.5965769958907663
9,0.5639509719700797
11,0.5783025981140629
13,0.5594119887653012
15,0.5219117638874615
17,0.5126419011128208
20,0.5097701123219587
25,0.48402510019191275
30,0.47150075050512996
35,0.45179165736547483
40,0.45514223919384805
45,0.4257793703951867
50,0.42134587031396536
