topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.05,40,,2369.7596750313337
0.05,40,0.05,2105.7448331073942
0.05,40,0.1,1951.7018074105613
0.05,40,0.5,1726.6943317380017
0.05,40,1.0,1675.857442454336
0.05,40,5.0,1686.1870397003827
0.05,40,10.0,1681.5290247528028
0.05,45,,2552.0260245356594
0.05,45,0.05,2203.527042324056
0.05,45,0.1,2030.0073884313183
0.05,45,0.5,1749.7387268799587
0.05,45,1.0,1678.7042904395937
0.05,45,5.0,1696.8124242528004
0.05,45,10.0,1655.807117908089
0.05,50,,2792.1848276265778
0.05,50,0.05,2335.505182552374
0.05,50,0.1,2144.1332518315157
0.05,50,0.5,1808.0616582708049
0.05,50,1.0,1683.9008274337186
0.05,50,5.0,1689.0946235623808
0.05,50,10.0,1709.6210871816068
0.1,3,,1100.235261032758
0.1,3,0.05,1188.3846453576768
0.1,3,0.1,1144.0422428562624
0.1,3,0.5,1098.0598810845843
0.1,3,1.0,1118.1289552773728
0.1,3,5.0,1389.9915176641346
0.1,3,10.0,1632.3805128290373
0.1,5,,1148.1319705354583
0.1,5,0.05,1243.3034002030058
0.1,5,0.1,1184.7158068124147
0.1,5,0.5,1138.947469728245
0.1,5,1.0,1178.82273907424
0.1,5,5.0,1533.1359081912462
0.1,5,10.0,1680.3476815001632
0.1,7,,1211.504679394395
0.1,7,0.05,1303.4107416134962
0.1,7,0.1,1235.1327562788576
0.1,7,0.5,1197.5448253496545
0.1,7,1.0,1256.292778508572
0.1,7,5.0,1591.2644555125742
0.1,7,10.0,1635.377590805375
0.1,9,,1280.364797419215
0.1,9,0.05,1363.06455098261
0.1,9,0.1,1288.4246116558584
0.1,9,0.5,1260.60477135277
0.1,9,1.0,1330.275452156476
0.1,9,5.0,1568.0017963088
0.1,9,10.0,1622.7527348599128
0.1,11,,1344.7049418226713
0.1,11,0.05,1415.6616695402147
0.1,11,0.1,1336.351656120508
0.1,11,0.5,1314.6460494350554
0.1,11,1.0,1385.2520390854056
0.1,11,5.0,1585.1969490572758
0.1,11,10.0,1640.8797978125208
