topic_model__n_components,score
3,0.6220196829571268
5,0.6070796007529653
7,0.6160050081577089
9,0.598852240068485
11,0.5749151107471966
13,0.5830675634529203
15,0.5717098688185978
17,0.5892154972135697
20,0.5624861762781819
25,0.5371498805829874
30,0.5094710183572209
35,0.5061684080093053
40,0.47993985315293963
45,0.45679864541405496
50,0.44430996777551646
