topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.001,42,3.5,1642.5442921749138
0.001,42,5.0,1648.2871752724695
0.001,42,6.5,1622.9171459513182
0.001,42,8.5,1622.4492234234365
0.001,42,10.0,1651.0288613475518
0.001,45,0.5,1783.8637943029
0.001,45,1.0,1682.0283612426713
0.001,45,2.5,1594.7011751833916
0.001,45,3.5,1617.0371088651875
0.001,45,5.0,1646.4730457257217
0.001,45,6.5,1637.8041813398313
0.001,45,8.5,1599.922582687671
0.001,45,10.0,1597.4695049047257
0.001,47,0.5,1799.2760890607
0.001,47,1.0,1666.561991351371
0.001,47,2.5,1633.1420546611166
0.001,47,3.5,1650.9829232386214
0.001,47,5.0,1641.2908393637615
0.001,47,6.5,1628.0954353331929
0.001,47,8.5,1627.8415952626551
0.001,47,10.0,1644.4577488836949
0.001,50,0.5,1840.2780699106856
0.001,50,1.0,1672.577559740082
0.001,50,2.5,1639.4153762180838
0.001,50,3.5,1646.8086142992906
0.001,50,5.0,1639.882242185609
0.001,50,6.5,1642.161992406033
0.001,50,8.5,1620.177698232201
0.001,50,10.0,1645.0305730591724
0.005,5,0.5,1158.3840162981228
0.005,5,1.0,1194.571964731785
0.005,5,2.5,1350.9213971388556
0.005,5,3.5,1442.7419067250432
0.005,5,5.0,1540.4920351319051
0.005,5,6.5,1611.448243040058
0.005,5,8.5,1676.979036346931
0.005,5,10.0,1677.0277676815615
0.005,7,0.5,1220.8157227535412
0.005,7,1.0,1274.3286679601522
0.005,7,2.5,1451.7253871480248
0.005,7,3.5,1532.3682512563205
0.005,7,5.0,1592.2230886861014
0.005,7,6.5,1649.534674250964
0.005,7,8.5,1662.0084274208152
0.005,7,10.0,1623.4856730619954
0.005,10,0.5,1313.7993810232233
0.005,10,1.0,1376.267348041002
0.005,10,2.5,1506.0049020100682
0.005,10,3.5,1524.1304679273749
0.005,10,5.0,1571.3065227574275
0.005,10,6.5,1617.533062065133
0.005,10,8.5,1574.7123785802771
0.005,10,10.0,1588.3764150012996
0.005,12,0.5,1363.6384301474586
0.005,12,1.0,1423.8436280683395
0.005,12,2.5,1536.1056090187303
0.005,12,3.5,1575.3777449525471
0.005,12,5.0,1564.0298660420929
0.005,12,6.5,1595.2713171734997
0.005,12,8.5,1625.3175240551657
0.005,12,10.0,1642.186946857355
0.005,15,0.5,1412.6078972286307
0.005,15,1.0,1463.0888208374004
0.005,15,2.5,1542.9495388510088
0.005,15,3.5,1565.5013459754305
0.005,15,5.0,1597.6907372776575
0.005,15,6.5,1630.933508537465
0.005,15,8.5,1619.340274771751
0.005,15,10.0,1579.012052460361
0.005,17,0.5,1467.743600290047
0.005,17,1.0,1512.6269540308515
0.005,17,2.5,1568.3889499569746
0.005,17,3.5,1584.6137149203291
0.005,17,5.0,1608.026054996383
0.005,17,6.5,1620.3734180172094
0.005,17,8.5,1587.721796593629
0.005,17,10.0,1575.9284440636904
0.005,20,0.5,1510.8875627119337
0.005,20,1.0,1531.1305466999827
0.005,20,2.5,1553.2030815175835
0.005,20,3.5,1571.9234085527553
0.005,20,5.0,1596.765226564664
0.005,20,6.5,1609.0207853209834
0.005,20,8.5,1597.0525527267905
0.005,20,10.0,1595.611433977629
0.005,22,0.5,1544.4435173977708
0.005,22,1.0,1534.915170092544
0.005,22,2.5,1581.0674041286966
0.005,22,3.5,1579.8498876025792
0.005,22,5.0,1628.2313727267288
0.005,22,6.5,1629.6079053572746
0.005,22,8.5,1629.4691797854273
0.005,22,10.0,1588.493849595659
0.005,25,0.5,1591.082958883315
0.005,25,1.0,1573.3233653978411
0.005,25,2.5,1571.8144321818606
0.005,25,3.5,1594.3851260358138
0.005,25,5.0,1639.491683735267
0.005,25,6.5,1653.0796729390422
0.005,25,8.5,1643.0368826120412
0.005,25,10.0,1604.7338543948106
0.005,27,0.5,1597.5440978419551
0.005,27,1.0,1572.7805234337848
0.005,27,2.5,1571.7479525558276
0.005,27,3.5,1588.78971742966
0.005,27,5.0,1612.8010994928682
0.005,27,6.5,1620.501744825949
0.005,27,8.5,1627.684921234088
0.005,27,10.0,1584.6033080805282
0.005,30,0.5,1631.725217183906
0.005,30,1.0,1609.2613326763935
0.005,30,2.5,1586.6374245858417
0.005,30,3.5,1580.0757765552223
0.005,30,5.0,1607.9520355915145
0.005,30,6.5,1615.3350932961264
0.005,30,8.5,1611.4138122326551
0.005,30,10.0,1611.9172481541252
0.005,32,0.5,1668.3400732899142
0.005,32,1.0,1614.2794652931373
0.005,32,2.5,1607.5955242677471
0.005,32,3.5,1606.9330340773297
0.005,32,5.0,1611.9744251504967
0.005,32,6.5,1624.114968156351
0.005,32,8.5,1577.2403044339796
0.005,32,10.0,1568.2402207825996
0.005,35,0.5,1693.4712287601149
0.005,35,1.0,1629.280925719652
0.005,35,2.5,1603.6257966996377
0.005,35,3.5,1593.355945120951
0.005,35,5.0,1612.0971692835956
0.005,35,6.5,1617.660602948541
0.005,35,8.5,1610.6527259447869
0.005,35,10.0,1578.3831000459895
0.005,37,0.5,1722.0191856549616
0.005,37,1.0,1626.8873322062882
0.005,37,2.5,1601.5096510698556
0.005,37,3.5,1630.2382867019912
0.005,37,5.0,1642.3894387919545
0.005,37,6.5,1631.4130152712034
0.005,37,8.5,1615.5577842109742
0.005,37,10.0,1624.8675900714084
0.005,40,0.5,1731.4258315825305
0.005,40,1.0,1658.3873887645052
0.005,40,2.5,1636.4369117614033
0.005,40,3.5,1654.2035784638351
0.005,40,5.0,1639.9897060515775
0.005,40,6.5,1604.113947553909
0.005,40,8.5,1611.4866171522713
