topic_model__n_components,score
3,0.49649013595347075
5,0.532390631715876
7,0.5128896716712538
9,0.5513978785709822
11,0.5695151182360695
13,0.5793346963152737
15,0.5659209412488285
17,0.5625334450378654
20,0.5717716583319044
25,0.5720336493294647
30,0.5673955388623618
35,0.5730084684684696
40,0.56814949635352
45,0.5656557222342282
50,0.564327431893933
